Transaction_ID,Date,Market,Category,Amount_USD,Fee_USD,Payment_Type,Fraud_Flag,Merchant,Customer_Tier
TXN-00001,2024-09-01,South Africa,Electronics,126.87,3.04,Card,No,Woolworths,Standard
TXN-00002,2024-01-07,Nigeria,Utilities,74.44,1.76,Mobile Money,No,Air Peace,Standard
TXN-00003,2024-11-01,South Africa,Groceries,39.12,0.77,Card,No,DSTV SA,Standard
TXN-00004,2024-02-28,Nigeria,Electronics,394.57,7.5,QR Code,No,Air Peace,Standard
TXN-00005,2024-11-20,South Africa,Food & Dining,8.83,0.21,Card,No,Netcare,Standard
TXN-00006,2024-11-13,Nigeria,Utilities,43.32,0.85,Mobile Money,No,Slot,Standard
TXN-00007,2024-08-06,Ghana,Electronics,252.46,6.41,Card,No,MultiChoice Ghana,Standard
TXN-00008,2024-11-25,Kenya,Entertainment,40.6,0.75,QR Code,No,Java House,Premium
TXN-00009,2024-04-16,Nigeria,Health,120.65,2.41,Card,No,Dangote Store,Standard
TXN-00010,2024-06-19,Nigeria,Electronics,1487.98,27.87,Mobile Money,No,GTBank,Business
TXN-00011,2024-11-14,Ghana,Food & Dining,30.74,0.62,Mobile Money,No,KFC Ghana,Standard
TXN-00012,2024-09-18,South Africa,Entertainment,18.21,0.35,Mobile Money,No,Eskom,Standard
TXN-00013,2024-12-25,Kenya,Health,235.93,5.45,Mobile Money,No,Quickmart,Premium
TXN-00014,2024-08-25,South Africa,Health,205.67,3.89,Card,No,Eskom,Standard
TXN-00015,2024-04-08,South Africa,Health,204.68,3.8,Card,No,Pick n Pay,Standard
TXN-00016,2024-09-18,Kenya,Utilities,174.12,4.43,Card,No,Safaricom,Premium
TXN-00017,2024-06-22,Ghana,Food & Dining,11.66,0.23,Mobile Money,No,Africa World Airlines,Standard
TXN-00018,2024-08-01,Kenya,Utilities,91.49,2.28,Mobile Money,No,Nairobi Hospital,Standard
TXN-00019,2024-04-05,South Africa,Health,112.34,2.45,Card,No,DSTV SA,Standard
TXN-00020,2024-05-14,Nigeria,Entertainment,88.69,1.67,Mobile Money,No,Slot,Premium
TXN-00021,2024-04-07,Ghana,Groceries,59.81,1.5,Mobile Money,No,Maxmart,Standard
TXN-00022,2024-02-21,South Africa,Entertainment,163.03,4.04,Mobile Money,No,Netcare,Business
TXN-00023,2024-11-02,Kenya,Groceries,111.77,2.71,Mobile Money,No,DStv Kenya,Standard
TXN-00024,2024-09-16,Kenya,Food & Dining,126.89,2.83,Card,No,Equity Bank,Business
TXN-00025,2024-07-28,Ghana,Groceries,103.35,1.92,Mobile Money,No,Palace Mall,Standard
TXN-00026,2024-02-19,Nigeria,Utilities,84.17,1.91,Card,No,EKEDC,Premium
TXN-00027,2024-09-11,Nigeria,Food & Dining,37.65,0.77,Card,No,Netflix Nigeria,Premium
TXN-00028,2024-09-19,South Africa,Groceries,37.7,0.96,Card,No,Steers,Standard
TXN-00029,2024-05-15,South Africa,Transfers,8886.06,20.51,Mobile Money,No,Eskom,Premium
TXN-00030,2024-12-04,South Africa,Groceries,19.99,0.45,Card,No,Steers,Standard
TXN-00031,2024-03-21,South Africa,Travel,2277.74,41.92,Card,No,Woolworths,Standard
TXN-00032,2024-01-25,Kenya,Health,187.9,4.44,Mobile Money,No,Quickmart,Standard
TXN-00033,2024-08-27,Nigeria,Utilities,13.76,0.29,QR Code,No,Shoprite Nigeria,Standard
TXN-00034,2024-12-07,Ghana,Transfers,2821.42,7.76,QR Code,No,Africa World Airlines,Standard
TXN-00035,2024-11-26,South Africa,Health,299.89,6.19,QR Code,No,Netcare,Standard
TXN-00036,2024-04-26,Ghana,Food & Dining,30.89,0.61,QR Code,No,Africa World Airlines,Standard
TXN-00037,2024-04-22,Kenya,Food & Dining,104.67,2.12,Mobile Money,No,DStv Kenya,Premium
TXN-00038,2024-05-01,Kenya,Health,385.76,7.76,Mobile Money,No,Java House,Standard
TXN-00039,2024-06-17,Kenya,Health,36.87,0.79,Mobile Money,No,KPLC,Standard
TXN-00040,2024-06-03,South Africa,Health,487.74,9.27,QR Code,No,DSTV SA,Premium
TXN-00041,2024-05-23,Nigeria,Groceries,113.32,2.65,QR Code,No,Air Peace,Standard
TXN-00042,2024-06-27,Kenya,Food & Dining,36.9,0.86,Mobile Money,No,KPLC,Standard
TXN-00043,2024-07-26,South Africa,Entertainment,8.82,0.2,Card,No,Netcare,Standard
TXN-00044,2024-09-08,South Africa,Groceries,118.2,2.71,Card,No,Takealot,Standard
TXN-00045,2024-03-23,Nigeria,Food & Dining,42.82,1.08,Card,No,CMS Hospital,Standard
TXN-00046,2024-04-26,South Africa,Travel,683.06,16.93,Card,No,Checkers,Standard
TXN-00047,2024-12-20,Nigeria,Entertainment,41.68,1.05,Mobile Money,No,Netflix Nigeria,Standard
TXN-00048,2024-12-24,South Africa,Travel,3798.6,76.8,Card,No,Netcare,Premium
TXN-00049,2024-04-03,Ghana,Electronics,719.77,13.42,Mobile Money,No,ECG Ghana,Standard
TXN-00050,2024-10-03,Nigeria,Food & Dining,8.42,0.21,Mobile Money,No,Shoprite Nigeria,Standard
TXN-00051,2024-11-25,Ghana,Travel,2753.14,58.15,QR Code,No,Maxmart,Business
TXN-00052,2024-10-18,South Africa,Health,123.72,2.71,Card,No,DSTV SA,Standard
TXN-00053,2024-10-27,Nigeria,Groceries,17.5,0.37,Card,No,CMS Hospital,Premium
TXN-00054,2024-03-15,Kenya,Electronics,391.02,8.09,QR Code,No,KQ Airways,Standard
TXN-00055,2024-04-03,Nigeria,Entertainment,47.84,0.95,Mobile Money,No,Shoprite Nigeria,Standard
TXN-00056,2024-10-08,Kenya,Groceries,22.14,0.52,Mobile Money,No,Safaricom,Standard
TXN-00057,2024-10-06,Ghana,Health,566.68,10.94,Mobile Money,No,Korle Bu Hospital,Premium
TXN-00058,2024-08-13,Nigeria,Transfers,3468.54,7.82,Mobile Money,No,Dangote Store,Standard
TXN-00059,2024-11-26,South Africa,Entertainment,24.28,0.51,Card,No,DSTV SA,Standard
TXN-00060,2024-11-04,Nigeria,Food & Dining,103.3,1.99,Mobile Money,No,Air Peace,Business
TXN-00061,2024-09-18,South Africa,Travel,2715.04,55.87,Mobile Money,No,Eskom,Premium
TXN-00062,2024-11-08,South Africa,Utilities,70.51,1.55,Card,No,Steers,Premium
TXN-00063,2024-11-11,Nigeria,Utilities,205.63,4.55,Mobile Money,No,CMS Hospital,Business
TXN-00064,2024-07-25,Nigeria,Travel,2083.0,37.78,Mobile Money,No,EKEDC,Premium
TXN-00065,2024-05-19,Nigeria,Utilities,99.7,2.23,Mobile Money,No,Air Peace,Standard
TXN-00066,2024-04-04,South Africa,Food & Dining,103.06,2.42,Mobile Money,No,Eskom,Premium
TXN-00067,2024-10-25,Ghana,Food & Dining,15.68,0.31,Mobile Money,No,Maxmart,Standard
TXN-00068,2024-02-02,South Africa,Utilities,35.84,0.89,Card,No,Takealot,Premium
TXN-00069,2024-05-16,Nigeria,Electronics,755.8,16.49,Card,No,Slot,Standard
TXN-00070,2024-08-22,Kenya,Groceries,42.03,1.09,Mobile Money,No,Equity Bank,Standard
TXN-00071,2024-08-20,Nigeria,Utilities,49.84,1.24,QR Code,No,Dangote Store,Standard
TXN-00072,2024-01-24,Kenya,Entertainment,29.33,0.55,Mobile Money,No,Quickmart,Premium
TXN-00073,2024-01-15,Ghana,Travel,777.21,15.75,QR Code,Yes,Africa World Airlines,Standard
TXN-00074,2024-12-26,South Africa,Utilities,47.64,0.9,Mobile Money,No,Eskom,Premium
TXN-00075,2024-11-03,Kenya,Entertainment,42.09,1.07,Mobile Money,No,Safaricom,Standard
TXN-00076,2024-09-09,Nigeria,Travel,176.46,3.79,Mobile Money,No,Slot,Standard
TXN-00077,2024-04-22,South Africa,Utilities,349.86,8.18,Card,No,Pick n Pay,Business
TXN-00078,2024-07-21,Nigeria,Electronics,1290.99,31.65,QR Code,No,CMS Hospital,Business
TXN-00079,2024-05-22,Kenya,Groceries,63.49,1.48,Mobile Money,No,Naivas,Standard
TXN-00080,2024-07-11,Nigeria,Groceries,188.44,4.64,Mobile Money,No,Netflix Nigeria,Premium
TXN-00081,2024-06-07,Nigeria,Utilities,49.78,0.92,Mobile Money,No,Air Peace,Standard
TXN-00082,2024-06-23,Nigeria,Groceries,175.06,4.15,Mobile Money,No,CMS Hospital,Premium
TXN-00083,2024-02-27,South Africa,Travel,2093.79,46.04,Card,No,Eskom,Standard
TXN-00084,2024-06-16,South Africa,Electronics,337.69,8.57,Card,No,FlySafair,Standard
TXN-00085,2024-04-26,South Africa,Food & Dining,34.35,0.62,Card,No,Takealot,Premium
TXN-00086,2024-12-16,South Africa,Travel,884.5,21.32,Card,No,Netcare,Standard
TXN-00087,2024-12-08,Ghana,Electronics,134.58,3.22,Card,No,Palace Mall,Premium
TXN-00088,2024-12-26,South Africa,Health,34.07,0.75,Card,No,Cape Union Mart,Standard
